index_label,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,CBM-up,VBM-up,CBM-down,VBM-down
58,InAlS2+TeInGaS,0.379,Direct,3.85,0.703,0,0.704,0,1,-3.9692467,-4.3486467,-3.9207501,-4.3001501
59,InAlS2+SInGaSe-1,2.268,Indirect,3.794,0.0099,0.2766,0.4467,0.2136,5,-3.6888798,-5.9566798,-3.6380648,-5.9058648
60,InAlS2+InAlSe2-2,2.17,Indirect,3.815,0.0559,0.2285,0.7331,0,2,-4.4429814,-6.6133814,-4.4745548,-6.6449548
61,InAlS2+SInAlSe-2,2.47,Indirect,3.778,0.0584,0.2277,0.3007,0.307,6,-4.6073184,-7.0778184,-4.6099342,-7.0804342
62,InAlS2+InAlTe2-2,0.607,Direct,3.985,0.0262,0.4745,0.6901,0,2,-4.4553584,-5.0625584,-5.0012107,-5.6084107
63,InAlS2+SeInGaTe-1,1.388,Direct,3.921,0.0762,0.4472,0.6812,0,2,-3.9531493,-5.3406493,-3.916699,-5.304199
64,InAlS2+TeGaAlSe-2,1.433,Indirect,3.838,0.0455,0.2375,0.693,0,2,-4.0909125,-5.5235125,-4.1880165,-5.6206165
65,InAlS2+SeGaAlTe-1,1.698,Direct,3.847,0.0579,0.4427,0.5656,0,2,-3.6179891,-5.3159891,-3.5882572,-5.2862572
66,InAlS2+InGaTe2,0.402,Direct,3.989,0.6885,0,0.6898,0,1,-4.5289297,-4.9313297,-4.4592471,-4.8616471
67,InAlS2+SGaAlTe-3,1.98,Indirect,3.799,0.3693,0.0142,0.0798,0.5155,2,-3.1233741,-5.1033741,-5.1890821,-7.1690821
68,InAlS2+SGaAlSe-3,2.269,Indirect,3.712,0.3188,0.0108,0.1015,0.4955,2,-4.0899286,-6.3588286,-4.2697358,-6.5386358
69,InAlS2+SeInAlTe-2,1.993,Indirect,3.908,0.0269,0.4625,0.3111,0.2914,5,-4.5507055,-6.5437055,-4.7476029,-6.7406029
70,InAlS2+SInAlSe-3,1.875,Indirect,3.78,0.3282,0.0043,0.0547,0.5436,2,-4.199435,-6.074235,-4.417827,-6.292627
71,InAlS2+SGaAlTe-1,1.672,Indirect,3.801,0.0176,0.269,0.5716,0,2,-3.5027848,-5.1747848,-3.4899391,-5.1619391
72,InAlS2+SeGaAlS,1.617,Indirect,3.706,0.0038,0.2897,0.5345,0.0433,2,-5.0056634,-6.6222634,-3.3818894,-4.9984894
73,InAlS2+TeInAlSe,0.154,Direct,3.882,0.6967,0,0.6966,0,1,-4.0264088,-4.1802088,-3.9511619,-4.1049619
74,InAlS2+InGaSe2,1.817,Indirect,3.827,0.0117,0.2732,0.5668,0.1132,2,-4.1346677,-5.9520677,-4.0014108,-5.8188108
75,InAlS2+TeGaAlSe-3,1.627,Indirect,3.838,0.0517,0.2347,0.6925,0.0002,2,-3.9045307,-5.5315307,-4.041646,-5.668646
76,InAlS2+SInGaSe-2,2.45,Indirect,3.794,0.1648,0.1901,0.2077,0.4216,6,-4.3798644,-6.8297644,-4.4335179,-6.8834179
77,InAlS2+TeGaAlSe,0.037,Indirect,3.835,0.0051,0.2748,0.6608,0.0214,2,-4.3021385,-4.3391385,-4.1985657,-4.2355657
78,InAlS2+SeInGaS-2,2.119,Indirect,3.78,0.5975,0.0402,0.1309,0.487,5,-4.5254527,-6.6442527,-4.6266701,-6.7454701
79,InAlS2+SeInGaS,1.853,Indirect,3.78,0.0155,0.2756,0.7374,0,2,-4.0353036,-5.8881036,-3.921738,-5.774538
80,InAlS2+SeGaAlTe-3,2.178,Indirect,3.847,0.2742,0.0799,0.1884,0.3911,6,-3.8503098,-6.0281098,-4.0350747,-6.2128747
81,InAlS2+SeGaAlS-3,2.273,Indirect,3.703,0.2621,0.0099,0.1372,0.4672,5,-3.3637914,-5.6370914,-5.0633902,-7.3366902
82,InAlS2+SInAlTe-2,2.056,Direct,3.873,0.0288,0.4587,0.5608,0.0002,2,-4.7140351,-6.7700351,-4.6426602,-6.6986602
83,InAlS2+SGaAlSe-2,2.522,Indirect,3.709,0.0336,0.2559,0.4074,0.1788,5,-4.4054935,-6.9270935,-4.4432097,-6.9648097
84,InAlS2+SGaAlSe-1,2.156,Indirect,3.711,0.0124,0.284,0.4513,0.1348,5,-3.7432153,-5.8993153,-3.3950355,-5.5511355
85,InAlSe2+InAlTe2-2,1.063,Direct,4.068,0.041,0.4456,0.6817,0,2,-4.4635367,-5.5261367,-4.4893032,-5.5519032
86,InAlSe2+SInGaTe-1,2.005,Indirect,3.968,0.193,0.3379,0.3428,0.3059,6,-3.56961,-5.57411,-3.5674782,-5.5719782
87,InAlSe2+SeInAlTe,1.38,Indirect,3.996,0.0718,0.4307,0.4949,0.0953,2,-5.0948173,-6.4752173,-3.6114136,-4.9918136
88,InAlSe2+InAlTe2,-1.392,Direct,4.07,0.6699,0.0067,0.1001,0.4204,3,-5.9190211,-4.5270211,-5.0167193,-3.6247193
89,InAlSe2+SeGaAlS,1.96,Indirect,3.793,0.0106,0.3265,0.5144,0.074,2,-3.9315909,-5.8913909,-3.8198433,-5.7796433
90,InAlSe2+InGaTe2,0.89,Direct,4.08,0.1395,0.4012,0.6813,0,5,-4.3078484,-5.1980484,-4.2318599,-5.1220599
91,InAlSe2+TeInGaSe,0.91,Direct,3.994,0.3343,0.2311,0.691,0,5,-4.0288216,-4.9391216,-3.9706167,-4.8809167
92,InAlSe2+TeInGaSe-2,1.092,Direct,3.989,0.5299,0.0932,0.6921,0,1,-4.4102277,-5.5017277,-4.4987395,-5.5902395
93,InAlSe2+SGaAlSe-2,2.212,Indirect,3.794,0.211,0.0968,0,0.7347,5,-4.1680044,-6.3803044,-4.205479,-6.417779
94,InAlSe2+InGaSe2,1.884,Indirect,3.918,0.3153,0.2446,0.5169,0.1608,6,-3.95413,-5.83843,-3.8582441,-5.7425441
95,InAlSe2+SeInGaS,1.898,Indirect,3.869,0.5687,0.057,0.4696,0.2021,5,-4.4119636,-6.3102636,-3.5779243,-5.4762243
96,InAlSe2+InGaTe2-2,1.362,Direct,4.076,0.0759,0.4276,0.682,0,2,-4.3225871,-5.6850871,-4.386367,-5.748867
97,InAlSe2+InGaS2-2,1.489,Direct,3.832,0.5973,0.0426,0,0.7313,2,-4.5600525,-6.0490525,-5.0451865,-6.5341865
98,InAlSe2+InAlSe2-1,2.313,Indirect,3.903,0.1804,0.1341,0.3007,0.3201,6,-4.2304973,-6.5430973,-4.2319411,-6.5445411
99,InAlSe2+TeGaAlSe,1.229,Indirect,3.923,0.01,0.31,0.6788,0,2,-4.2446024,-5.4732024,-3.3296715,-4.5582715
100,InAlSe2+SeGaAlTe-3,1.943,Indirect,3.93,0.3526,0.0343,0.1838,0.4038,5,-3.1094382,-5.0520382,-4.5842484,-6.5268484
101,InAlSe2+SeGaAlS-3,1.681,Indirect,3.792,0.259,0.0051,0,0.7353,2,-3.3894161,-5.0700161,-4.7343384,-6.4149384
102,InAlSe2+SGaAlTe-1,2.098,Indirect,3.887,0.5051,0.0697,0.3506,0.2461,5,-3.34606,-5.44406,-3.3613522,-5.4593522
103,InAlSe2+InGaSe2-2,1.83,Direct,3.916,0.5361,0.0854,0.2742,0.3518,5,-4.4257449,-6.2556449,-4.4752274,-6.3051274
104,InAlSe2+SeGaAlTe-2,2.117,Indirect,3.928,0.0347,0.2923,0.4118,0.1705,5,-4.1222326,-6.2393326,-4.1319042,-6.2490042
105,InAlSe2+InAlSe2,1.88,Indirect,3.903,0.0121,0.3107,0.5128,0.1065,2,-4.1129684,-5.9927684,-3.9669046,-5.8467046
106,InAlSe2+SGaAlSe-1,2.281,Indirect,3.796,0.1827,0.1605,0.3773,0.2314,6,-3.3474418,-5.6288418,-3.3435495,-5.6249495
107,InAlSe2+SGaAlSe-3,1.522,Indirect,3.798,0.3154,0.0065,0,0.7344,2,-3.2733637,-4.7951637,-4.9084275,-6.4302275
108,InAlSe2+SInGaSe-1,2.072,Indirect,3.878,0.5245,0.0866,0.3799,0.2821,5,-3.7408712,-5.8132712,-3.7064291,-5.7788291
109,InAlSe2+SeInGaTe-2,1.865,Direct,3.998,0.0986,0.4047,0.3234,0.3006,5,-4.2821347,-6.1470347,-4.3073429,-6.1722429
