,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
7793,Ga2SeTe+SeGaAlS-2,1.141,Indirect,3.842,0.0058,0.5572,0,0.6952,1,0.02244694,,
7794,Ga2SeTe+SeGaAlS-3,0.746,Direct,3.838,0.4484,0.0887,0,0.6961,2,-0.0060949,,
7795,Ga2SeTe+SeGaAlTe-1,0.894,Indirect,3.965,0.451,0.1539,0.141,0.5023,6,-0.221265,,
7796,Ga2SeTe+SeGaAlTe-2,0.858,Indirect,3.959,0.0746,0.5529,0.446,0.1446,5,-0.21471948,,
7797,Ga2SeTe+SeGaAlTe-3,1.068,Indirect,3.955,0.2808,0.3457,0.2393,0.3911,6,-0.20889846,,
7798,Ga2SeTe+SeInAlS-1,0.431,Indirect,3.869,0.277,0.0071,0.0063,0.6867,2,-0.1665518,,
7799,Ga2SeTe+SeInAlS-2,1.206,Direct,3.897,0.2318,0.3457,0,0.6864,5,-0.13085147,,
7800,Ga2SeTe+SeInAlS-3,0.617,Direct,3.888,0.3932,0.1209,0,0.6869,5,-0.1608743,,
7801,Ga2SeTe+SeInAlTe-1,0.987,Indirect,4.024,0.2089,0.4079,0.0823,0.5711,5,-0.20991543,,
7802,Ga2SeTe+SeInAlTe-2,0.774,Indirect,4.023,0.0545,0.5731,0.3778,0.2392,5,-0.18846709,,
7803,Ga2SeTe+SeInAlTe-3,0.998,Indirect,4.019,0.0782,0.5531,0.1725,0.4793,5,-0.19643938,,
7804,Ga2SeTe+SeInGaS-1,0.43,Direct,3.881,0.54,0.1176,0.006,0.6846,2,-0.19430545,,
7805,Ga2SeTe+SeInGaS-2,0.562,Direct,3.912,0.5754,0.0653,0,0.6826,2,-0.16547546,,
7806,Ga2SeTe+SeInGaS-3,0.622,Direct,3.904,0.499,0.1592,0,0.685,5,-0.18772229,,
7807,Ga2SeTe+SeInGaTe-1,0.934,Indirect,4.025,0.2658,0.3699,0.1394,0.5288,6,-0.20533617,,
7808,Ga2SeTe+SeInGaTe-2,0.76,Indirect,4.02,0.0898,0.5462,0.3585,0.3111,5,-0.18862791,,
7809,Ga2SeTe+SeInGaTe-3,0.837,Indirect,4.045,0.1177,0.5234,0.2716,0.4017,5,-0.19135631,,
7810,Ga2SeTe+SGaAlSe-1,0.218,Direct,3.839,0.5532,0.0401,0.0001,0.695,2,-0.02349038,,
7811,Ga2SeTe+SGaAlSe-2,1.115,Indirect,3.841,0.0125,0.5487,0,0.695,1,-0.01046554,,
7812,Ga2SeTe+SGaAlTe-1,0.499,Direct,3.915,0.5279,0.0661,0.0008,0.6828,2,-0.18613322,,
7813,Ga2SeTe+SGaAlSe-3,0.492,Direct,3.843,0.5604,0.03,0,0.6953,2,0.00474451,,
7814,Ga2SeTe+SGaAlTe-2,0.984,Indirect,3.917,0.1082,0.5188,0.4746,0.1116,2,-0.19538372,,
7815,Ga2SeTe+SGaAlTe-3,0.78,Direct,3.928,0.5501,0.0448,0,0.6812,2,-0.17747276,,
7816,Ga2SeTe+SInAlSe-1,0.458,Indirect,3.887,0.3085,0.0075,0.0016,0.6867,2,-0.17584981,,
7817,Ga2SeTe+SInAlSe-2,1.224,Direct,3.9,0.1026,0.5199,0,0.6848,1,-0.16160999,,
7818,Ga2SeTe+SInAlSe-3,0.718,Direct,3.907,0.4267,0.1034,0,0.6836,2,-0.16952311,,
7819,Ga2SeTe+SInAlTe-1,0.987,Indirect,3.984,0.3651,0.2411,0.0793,0.572,5,-0.21692361,,
7820,Ga2SeTe+SInAlTe-2,0.873,Indirect,3.979,0.0615,0.567,0.4044,0.2059,5,-0.20767511,,
7821,Ga2SeTe+SInAlTe-3,1.125,Indirect,3.993,0.1757,0.4529,0.1262,0.5208,5,-0.21162912,,
7822,Ga2SeTe+SInGaSe-1,0.436,Direct,3.898,0.538,0.1014,0.0016,0.6856,2,-0.1924006,,
7823,Ga2SeTe+SInGaSe-2,0.947,Direct,3.912,0.4212,0.2244,0,0.6832,5,-0.18750263,,
7824,Ga2SeTe+SInGaSe-3,0.658,Direct,3.921,0.5282,0.1129,0,0.682,2,-0.18717673,,
7825,Ga2SeTe+SInGaTe-1,0.923,Indirect,3.994,0.4438,0.1901,0.0923,0.5672,5,-0.2202066,,
7826,Ga2SeTe+SInGaTe-2,0.881,Indirect,3.995,0.0871,0.5481,0.3697,0.2935,5,-0.2179456,,
7827,Ga2SeTe+SInGaTe-3,1.077,Indirect,3.992,0.2354,0.4101,0.1981,0.4656,6,-0.21190281,,
7828,Ga2SeTe+TeGaAlS-1,0.954,Direct,3.905,0.3248,0.1847,0.3774,0.3116,6,-0.2062906,,
7829,Ga2SeTe+TeGaAlS-2,0.708,Direct,3.918,0.0485,0.5819,0.6796,0,2,-0.16200028,,
7830,Ga2SeTe+TeGaAlS-3,0.844,Direct,3.895,0.1835,0.3838,0.682,0.0022,5,-0.18677406,,
7831,Ga2SeTe+TeGaAlSe-1,1.162,Indirect,3.949,0.2108,0.3541,0.1924,0.4516,6,-0.23274069,,
7832,Ga2SeTe+TeGaAlSe-2,0.777,Direct,3.95,0.0642,0.5671,0.6749,0,2,-0.20150519,,
7833,Ga2SeTe+TeGaAlSe-3,0.949,Direct,3.955,0.086,0.5226,0.6721,0.0017,2,-0.22130941,,
7834,Ga2SeTe+TeInAlS-1,0.183,Direct,3.955,0.3695,0.1333,0.6813,0.0125,5,-0.24684632,,
7835,Ga2SeTe+TeInAlS-2,0.005,Direct,3.957,0.6903,0.0005,0.1512,0.4615,5,-0.19799956,,
7836,Ga2SeTe+TeInAlS-3,0.109,Direct,3.951,0.2898,0.2392,0.693,0.001,5,-0.23173293,,
7837,Ga2SeTe+TeInAlSe-1,0.437,Direct,4.005,0.3365,0.1666,0.6774,0.0106,5,-0.23332941,,
7838,Ga2SeTe+TeInAlSe-2,0.04,Direct,4.011,0.0761,0.5531,0.6869,0,2,-0.19397032,,
7839,Ga2SeTe+TeInAlSe-3,0.33,Direct,4.005,0.1493,0.4288,0.6876,0.0014,5,-0.2171188,,
7840,Ga2SeTe+TeInGaS-1,0.145,Direct,3.981,0.4788,0.1715,0.681,0.0108,5,-0.25183422,,
7841,Ga2SeTe+TeInGaS-2,0.122,Direct,3.967,0.5381,0.1055,0.6954,0,1,-0.20312634,,
7842,Ga2SeTe+TeInGaS-3,0.1,Direct,3.977,0.3703,0.2794,0.693,0.0011,5,-0.23439091,,
7843,Ga2SeTe+TeInGaSe-1,0.366,Direct,4.013,0.4567,0.1778,0.6766,0.0131,5,-0.22567026,,
7844,Ga2SeTe+TeInGaSe-2,0.364,Direct,4.023,0.3767,0.2686,0.688,0,5,-0.19725073,,
7845,Ga2SeTe+TeInGaSe-3,0.291,Direct,4.023,0.2415,0.3924,0.6861,0.0016,5,-0.21009155,,
7846,Ga2SSe+Ga2STe-2,0.648,Direct,3.8,0.1494,0.5012,0.7026,0,5,-0.12071838,,
7847,Ga2SSe+Ga2STe-1,0.401,Direct,3.792,0.1369,0.5144,0.7022,0.0011,5,-0.15870664,,
7848,Ga2SSe+Ga2STe-3,0.196,Direct,3.791,0.0689,0.5756,0.7042,0.0004,2,-0.14295152,,
7849,Ga2SSe+GaAlS2-1,1.424,Indirect,3.66,0.2728,0.0069,0.1145,0.5422,2,-0.15057755,,
7850,Ga2SSe+GaAlS2-2,1.797,Indirect,3.663,0.0473,0.4034,0.5202,0.0588,2,-0.1269069,,
7851,Ga2SSe+GaAlS2-3,1.637,Indirect,3.663,0.2716,0.0049,0.1652,0.4787,5,-0.13229638,,
7852,Ga2SSe+GaAlSe2-1,1.568,Indirect,3.749,0.2931,0.042,0.1958,0.4579,5,-0.19412702,,
7853,Ga2SSe+GaAlSe2-2,1.425,Indirect,3.727,0.0388,0.602,0.4472,0.1605,5,-0.16366825,,
7854,Ga2SSe+GaAlSe2-3,1.643,Indirect,3.728,0.066,0.572,0.2725,0.3696,5,-0.17025376,,
7855,Ga2SSe+GaAlTe2-1,0.636,Direct,3.918,0.0909,0.5636,0.6776,0.0018,2,0.12230029,,
7856,Ga2SSe+GaAlTe2-2,0.036,Direct,3.912,0.0813,0.5509,0.6804,0,2,0.14534839,,
7857,Ga2SSe+GaAlTe2-3,0.361,Direct,3.912,0.0742,0.562,0.6799,0.0009,2,0.14189893,,
7858,Ga2SSe+In2SeTe-1,0.002,Direct,3.957,0.1181,0.5399,0.6929,0.0015,2,0.26490495,,
7859,Ga2SSe+In2SeTe-2,0,Direct,3.959,0.6685,0.0235,0.091,0.557,4,0.28996689,,
7860,Ga2SSe+In2SeTe-3,-0.002,Indirect,3.958,0.164,0.4923,0.6942,0.0009,3,0.28122393,,
7861,Ga2SSe+In2SSe-1,1.147,Indirect,3.839,0.1881,0.4538,0.1408,0.5438,6,-0.05364564,,
7862,Ga2SSe+In2SSe-2,1.18,Indirect,3.848,0.1055,0.5387,0.1395,0.5352,5,-0.03282347,,
7863,Ga2SSe+In2SSe-3,1.145,Indirect,3.844,0.0782,0.5645,0.1927,0.4877,5,-0.0408515,,
7864,Ga2SSe+In2STe-1,0.004,Indirect,3.929,0.6955,0.0018,0.6946,0.0027,1,0.13792525,,
7865,Ga2SSe+In2STe-2,0.037,Direct,3.919,0.0732,0.5764,0.6999,0,2,0.17236512,,
7866,Ga2SSe+In2STe-3,-0.023,Indirect,3.906,0.5339,0.1518,0.7006,0.0008,3,0.1560545,,
7867,Ga2SSe+InAlS2-1,1.031,Indirect,3.722,0.2899,0.006,0.0766,0.5987,2,-0.20015343,,
7868,Ga2SSe+InAlS2-2,1.552,Direct,3.713,0.036,0.6047,0.719,0,2,-0.17164472,,
7869,Ga2SSe+InAlS2-3,1.185,Indirect,3.708,0.2888,0.0067,0.1034,0.5686,2,-0.18099533,,
7870,Ga2SSe+InAlSe2-1,1.248,Indirect,3.805,0.3224,0.0164,0.1258,0.5523,2,-0.12869224,,
7871,Ga2SSe+InAlSe2-2,0.613,Direct,3.803,0.0376,0.6055,0.7349,0,2,-0.10638421,,
7872,Ga2SSe+InAlSe2-3,1.329,Indirect,3.808,0.0634,0.5673,0.1704,0.497,5,-0.1182798,,
7873,Ga2SSe+InAlTe2-1,0.025,Direct,3.971,0.0935,0.5595,0.6894,0.0015,2,0.29780748,,
7874,Ga2SSe+InAlTe2-2,-0.107,Indirect,3.959,0.6278,0.058,0.6918,0,3,0.30941095,,
7875,Ga2SSe+InAlTe2-3,-0.007,Indirect,3.964,0.6893,0.0027,0.6928,0.0009,3,0.31624503,,
7876,Ga2SSe+InGaS2-1,1.177,Indirect,3.733,0.5663,0.078,0.1024,0.5759,2,-0.20132295,,
7877,Ga2SSe+InGaS2-2,1.606,Indirect,3.722,0.3938,0.2565,0.2951,0.3781,6,-0.17624241,,
7878,Ga2SSe+InGaS2-3,1.389,Indirect,3.721,0.5327,0.113,0.1628,0.5181,5,-0.17683274,,
7879,Ga2SSe+InGaSe2-1,1.233,Indirect,3.804,0.2844,0.3537,0.1647,0.5268,6,-0.10920763,,
7880,Ga2SSe+InGaSe2-2,1.1,Direct,3.815,0.0862,0.5627,0.7337,0,2,-0.09373007,,
7881,Ga2SSe+InGaSe2-3,1.225,Indirect,3.81,0.1273,0.5153,0.2427,0.4421,5,-0.09692883,,
7882,Ga2SSe+InGaTe2-1,0.063,Direct,3.974,0.1282,0.5382,0.6912,0.0015,2,0.31342103,,
7883,Ga2SSe+InGaTe2-2,-0.058,Indirect,3.965,0.6851,0.0026,0.6917,0,3,0.32899868,,
7884,Ga2SSe+InGaTe2-3,-0.005,Indirect,3.963,0.598,0.0875,0.6933,0.001,3,0.33386072,,
7885,Ga2SSe+SeGaAlS-1,1.479,Indirect,3.685,0.2597,0.0208,0.204,0.4596,5,-0.19581791,,
7886,Ga2SSe+SeGaAlS-2,1.602,Direct,3.701,0.0266,0.6124,0.7271,0,2,-0.17286085,,
7887,Ga2SSe+SeGaAlS-3,1.662,Indirect,3.694,0.2544,0.0275,0.2636,0.3799,5,-0.1891091,,
7888,Ga2SSe+SeGaAlTe-1,1.21,Indirect,3.839,0.1164,0.5276,0.1967,0.4447,5,-0.07371811,,
7889,Ga2SSe+SeGaAlTe-2,0.478,Direct,3.837,0.0477,0.5913,0.5665,0.0004,2,-0.06881101,,
7890,Ga2SSe+SeGaAlTe-3,1.077,Direct,3.834,0.0541,0.5878,0.5673,0,2,-0.06114656,,
7891,Ga2SSe+SeInAlS-1,1.157,Indirect,3.754,0.29,0.0082,0.7311,0.0076,1,-0.19851779,,
7892,Ga2SSe+SeInAlS-2,0.67,Direct,3.756,0.0347,0.6081,0.7378,0,2,-0.15848496,,
7893,Ga2SSe+SeInAlS-3,1.14,Indirect,3.755,0.2877,0.0102,0.7374,0.0012,1,-0.18348057,,
7894,Ga2SSe+SeInAlTe-1,1.026,Indirect,3.893,0.0838,0.5631,0.094,0.5767,1,0.07398563,,
7895,Ga2SSe+SeInAlTe-2,0.446,Direct,3.906,0.0582,0.5799,0.6823,0.0001,2,0.09080195,,
7896,Ga2SSe+SeInAlTe-3,0.923,Indirect,3.901,0.0472,0.5949,0.1697,0.4892,5,0.09150723,,
7897,Ga2SSe+SeInGaS-1,1.21,Indirect,3.769,0.4863,0.1559,0.1654,0.5219,6,-0.18637805,,
7898,Ga2SSe+SeInGaS-2,1.209,Direct,3.774,0.3737,0.2747,0.7385,0,5,-0.15414556,,
7899,Ga2SSe+SeInGaS-3,1.255,Direct,3.768,0.3779,0.2655,0.7381,0.0015,5,-0.16918491,,
7900,Ga2SSe+SeInGaTe-1,0.939,Indirect,3.908,0.1217,0.54,0.1402,0.5441,5,0.08982195,,
7901,Ga2SSe+SeInGaTe-2,0.276,Direct,3.905,0.0745,0.572,0.6842,0.0007,2,0.09826018,,
7902,Ga2SSe+SeInGaTe-3,0.675,Direct,3.907,0.0502,0.598,0.6837,0,2,0.10292054,,
7903,Ga2SSe+SGaAlSe-1,1.415,Indirect,3.696,0.3225,0.0166,0.1385,0.5169,5,-0.18907919,,
7904,Ga2SSe+SGaAlSe-2,1.586,Indirect,3.695,0.044,0.594,0.4803,0.1128,2,-0.18319102,,
7905,Ga2SSe+SGaAlSe-3,1.596,Indirect,3.713,0.3217,0.0127,0.1883,0.4523,5,-0.17701539,,
7906,Ga2SSe+SGaAlTe-1,1.28,Indirect,3.789,0.3782,0.0225,0.5735,0,1,-0.13901757,,
7907,Ga2SSe+SGaAlTe-2,0.464,Direct,3.778,0.0485,0.5908,0.5744,0.0006,2,-0.14336499,,
7908,Ga2SSe+SGaAlTe-3,1.235,Direct,3.789,0.1648,0.4688,0.5733,0,5,-0.12771582,,
7909,Ga2SSe+SInAlSe-1,1.186,Indirect,3.779,0.3273,0.0079,0.0741,0.5939,2,-0.16941067,,
7910,Ga2SSe+SInAlSe-2,1.365,Indirect,3.763,0.0362,0.6053,0.4243,0.1997,5,-0.15159596,,
7911,Ga2SSe+SInAlSe-3,1.362,Indirect,3.769,0.3284,0.009,0.1,0.5611,2,-0.15668619,,
7912,Ga2SSe+SInAlTe-1,1.198,Indirect,3.856,0.1244,0.5146,0.0734,0.5957,1,-0.00761632,,
7913,Ga2SSe+SInAlTe-2,0.565,Direct,3.869,0.0461,0.5935,0.5615,0.0006,2,-0.00388255,,
7914,Ga2SSe+SInAlTe-3,1.165,Indirect,3.859,0.0489,0.5927,0.1162,0.5397,1,0.00386015,,
7915,Ga2SSe+SInGaSe-1,1.288,Indirect,3.781,0.4414,0.1901,0.105,0.573,5,-0.15990984,,
7916,Ga2SSe+SInGaSe-2,1.359,Indirect,3.782,0.0893,0.5564,0.3593,0.3172,5,-0.15052464,,
7917,Ga2SSe+SInGaSe-3,1.399,Indirect,3.784,0.2973,0.3389,0.1495,0.525,6,-0.14649657,,
7918,Ga2SSe+SInGaTe-1,1.042,Direct,3.868,0.1457,0.509,0.69,0,5,0.00291731,,
7919,Ga2SSe+SInGaTe-2,0.289,Direct,3.867,0.0543,0.5912,0.69,0.0006,2,0.00302675,,
7920,Ga2SSe+SInGaTe-3,0.895,Direct,3.868,0.0601,0.5899,0.6895,0,2,0.01593977,,
7921,Ga2SSe+TeGaAlS-1,0.462,Direct,3.785,0.0866,0.5409,0.7009,0.0013,2,-0.17779959,,
7922,Ga2SSe+TeGaAlS-2,0.002,Direct,3.78,0.026,0.6173,0.7016,0.0006,2,-0.13667105,,
7923,Ga2SSe+TeGaAlS-3,0.191,Direct,3.78,0.0411,0.5924,0.7022,0.0004,2,-0.16406688,,
7924,Ga2SSe+TeGaAlSe-1,0.545,Direct,3.82,0.0713,0.5783,0.6941,0.0018,2,-0.09185598,,
7925,Ga2SSe+TeGaAlSe-2,0.025,Direct,3.825,0.0374,0.6054,0.6944,0,2,-0.06682559,,
7926,Ga2SSe+TeGaAlSe-3,0.233,Direct,3.829,0.0389,0.6003,0.6944,0.0004,2,-0.08425436,,
7927,Ga2SSe+TeInAlS-1,-0.123,Indirect,3.815,0.302,0.0179,0.7052,0.0011,3,-0.11664721,,
7928,Ga2SSe+TeInAlS-2,-0.154,Indirect,3.827,0.2854,0.0346,0.7021,0,3,-0.08035812,,
7929,Ga2SSe+TeInAlS-3,-0.127,Indirect,3.825,0.2854,0.0439,0.7043,0.0006,3,-0.09898418,,
7930,Ga2SSe+TeInAlSe-1,0.006,Direct,3.874,0.6972,0.0014,0.6983,0.0014,1,0.01113734,,
7931,Ga2SSe+TeInAlSe-2,-0.108,Indirect,3.876,0.0373,0.6267,0.6986,0,3,0.03248524,,
7932,Ga2SSe+TeInAlSe-3,-0.042,Indirect,3.88,0.6879,0.0104,0.6999,0.0006,3,0.02417045,,
7933,Ga2SSe+TeInGaS-1,-0.047,Indirect,3.847,0.5343,0.1405,0.7054,0.0008,3,-0.07853161,,
7934,Ga2SSe+TeInGaS-2,-0.031,Indirect,3.851,0.7019,0.0031,0.7066,0,3,-0.03368227,,
7935,Ga2SSe+TeInGaS-3,-0.066,Indirect,3.837,0.2574,0.4018,0.7061,0.0006,3,-0.06100884,,
7936,Ga2SSe+TeInGaSe-1,0.009,Indirect,3.893,0.6986,0.0012,0.668,0.0288,1,0.03996032,,
7937,Ga2SSe+TeInGaSe-2,-0.031,Indirect,3.901,0.6983,0,0.6993,0,3,0.07036778,,
7938,Ga2SSe+TeInGaSe-3,-0.031,Indirect,3.882,0.6802,0.0194,0.703,0.0006,3,0.05732436,,
7939,Ga2STe+GaAlS2-1,-0.053,Indirect,3.75,0.2607,0.0058,0.0001,0.7094,3,0.01331376,,
7940,Ga2STe+GaAlS2-3,0.356,Indirect,3.747,0.2615,0.0014,0,0.7107,2,0.06631854,,
7941,Ga2STe+GaAlS2-2,0.721,Indirect,3.746,0.0023,0.5393,0,0.7111,1,0.07032989,,
7942,Ga2STe+GaAlSe2-1,0.607,Indirect,3.823,0.2889,0.0467,0.0016,0.6968,2,-0.19498716,,
7943,Ga2STe+GaAlSe2-2,0.888,Direct,3.841,0.026,0.6062,0,0.6951,1,-0.16214385,,
7944,Ga2STe+GaAlSe2-3,0.88,Direct,3.84,0.058,0.5692,0,0.6958,1,-0.16776569,,
7945,Ga2STe+GaAlTe2-1,1.087,Indirect,3.995,0.0952,0.5652,0.1684,0.4671,5,-0.13226027,,
7946,Ga2STe+GaAlTe2-2,0.35,Direct,4.005,0.0425,0.5847,0.6641,0,2,-0.10181561,,
7947,Ga2STe+GaAlTe2-3,0.638,Indirect,3.998,0.0445,0.5839,0.3365,0.2531,5,-0.10635253,,
7948,Ga2STe+In2SeTe-1,0.693,Direct,4.033,0.2098,0.4414,0.6626,0.0254,5,-0.04466441,,
7949,Ga2STe+In2SeTe-2,0.388,Direct,4.056,0.0326,0.6054,0.6835,0,2,-0.0194067,,
7950,Ga2STe+In2SeTe-3,0.208,Direct,4.059,0.0274,0.6064,0.6841,0.0008,2,-0.01873921,,
7951,Ga2STe+In2SSe-1,0.743,Direct,3.938,0.3648,0.2646,0.0042,0.6755,5,-0.21724902,,
7952,Ga2STe+In2SSe-2,0.956,Direct,3.916,0.1168,0.5249,0,0.6845,1,-0.17433062,,
7953,Ga2STe+In2SSe-3,0.935,Direct,3.933,0.0819,0.5566,0,0.6805,1,-0.18773107,,
7954,Ga2STe+In2STe-1,0.519,Direct,4.008,0.2751,0.3698,0.6713,0.0178,5,-0.12628993,,
7955,Ga2STe+In2STe-2,0.434,Direct,4.024,0.0407,0.5991,0.6868,0,2,-0.08964925,,
7956,Ga2STe+In2STe-3,0.117,Direct,4.019,0.0391,0.596,0.6875,0.0009,2,-0.09154761,,
7957,Ga2STe+InAlS2-1,-0.061,Indirect,3.799,0.2766,0.0059,0.0011,0.7013,3,-0.16636363,,
7958,Ga2STe+InAlS2-2,0.876,Direct,3.817,0.0191,0.6128,0,0.6991,1,-0.1146673,,
7959,Ga2STe+InAlS2-3,0.375,Indirect,3.821,0.2746,0.0038,0,0.698,2,-0.13150242,,
7960,Ga2STe+InAlSe2-1,0.66,Direct,3.895,0.355,0.177,0.0041,0.6831,5,-0.23176682,,
7961,Ga2STe+InAlSe2-2,0.816,Direct,3.885,0.0419,0.5914,0.7272,0,2,-0.18886121,,
7962,Ga2STe+InAlSe2-3,0.862,Direct,3.88,0.0987,0.5136,0,0.6902,1,-0.19701379,,
7963,Ga2STe+InAlTe2-1,0.882,Direct,4.052,0.1126,0.5479,0.6563,0.0286,2,-0.02723945,,
7964,Ga2STe+InAlTe2-2,-0.006,Indirect,4.059,0.6713,0.0091,0.6826,0,3,0.00423072,,
7965,Ga2STe+InAlTe2-3,0.207,Direct,4.052,0.0251,0.6072,0.6833,0.001,2,0.00014157,,
7966,Ga2STe+InGaS2-1,0.002,Direct,3.814,0.5616,0.0888,0.0016,0.6987,2,-0.19046043,,
7967,Ga2STe+InGaS2-2,0.628,Direct,3.836,0.5617,0.0826,0,0.696,2,-0.14594295,,
7968,Ga2STe+InGaS2-3,0.37,Direct,3.833,0.5694,0.0778,0,0.6966,2,-0.1579731,,
7969,Ga2STe+InGaSe2-1,0.552,Direct,3.904,0.4883,0.1435,0.0037,0.682,5,-0.23326299,,
7970,Ga2STe+InGaSe2-2,0.932,Direct,3.894,0.0955,0.5474,0,0.6871,1,-0.19597212,,
7971,Ga2STe+InGaSe2-3,0.85,Direct,3.892,0.1934,0.4447,0,0.6883,5,-0.19579148,,
7972,Ga2STe+InGaTe2-1,0.853,Direct,4.058,0.1657,0.501,0.6617,0.0244,5,-0.02078447,,
7973,Ga2STe+InGaTe2-2,0.11,Direct,4.067,0.0582,0.5769,0.684,0,2,0.01049523,,
7974,Ga2STe+InGaTe2-3,0.28,Direct,4.063,0.0444,0.5907,0.6838,0.0012,2,0.01088877,,
7975,Ga2STe+SeGaAlS-1,0.299,Indirect,3.785,0.2537,0.0135,0.001,0.7029,2,-0.12919441,,
7976,Ga2STe+SeGaAlS-2,0.831,Direct,3.791,0.0135,0.6167,0,0.7033,1,-0.06276011,,
7977,Ga2STe+SeGaAlS-3,0.785,Direct,3.79,0.1334,0.4688,0,0.7046,5,-0.08810572,,
7978,Ga2STe+SeGaAlTe-1,0.811,Direct,3.923,0.3794,0.2314,0.0008,0.6813,5,-0.21062796,,
7979,Ga2STe+SeGaAlTe-2,0.609,Indirect,3.921,0.0422,0.5879,0.4765,0.0967,2,-0.19317082,,
7980,Ga2STe+SeGaAlTe-3,0.976,Direct,3.91,0.0514,0.5827,0,0.6837,1,-0.18555147,,
7981,Ga2STe+SeInAlS-1,0.29,Indirect,3.839,0.2801,0.0065,0.0032,0.6928,2,-0.21992301,,
7982,Ga2STe+SeInAlS-2,0.848,Direct,3.85,0.0217,0.6119,0.7289,0,2,-0.16473298,,
7983,Ga2STe+SeInAlS-3,0.671,Direct,3.84,0.2784,0.2667,0,0.6956,5,-0.18956883,,
7984,Ga2STe+SeInAlTe-1,1.001,Indirect,3.979,0.1921,0.4394,0.0757,0.5835,5,-0.15413848,,
7985,Ga2STe+SeInAlTe-2,0.595,Indirect,3.991,0.0331,0.5988,0.441,0.159,5,-0.12474492,,
7986,Ga2STe+SeInAlTe-3,0.935,Indirect,3.988,0.0253,0.611,0.225,0.4157,5,-0.13176489,,
7987,Ga2STe+SeInGaS-1,0.249,Direct,3.857,0.5385,0.1107,0.0032,0.6897,2,-0.23485521,,
7988,Ga2STe+SeInGaS-2,0.715,Direct,3.871,0.5398,0.1044,0,0.6898,2,-0.18492124,,
7989,Ga2STe+SeInGaS-3,0.639,Direct,3.854,0.3954,0.2523,0,0.694,5,-0.20239502,,
7990,Ga2STe+SeInGaTe-1,0.959,Indirect,3.985,0.2532,0.3948,0.0963,0.5734,5,-0.14926033,,
7991,Ga2STe+SeInGaTe-2,0.639,Indirect,3.993,0.0419,0.5937,0.4516,0.2087,5,-0.12633501,,
7992,Ga2STe+SeInGaTe-3,0.858,Indirect,3.989,0.0385,0.6018,0.3356,0.3353,5,-0.12511226,,
7993,Ga2STe+SGaAlSe-1,0.18,Indirect,3.793,0.3138,0.0141,0.0002,0.7025,2,-0.11986471,,
7994,Ga2STe+SGaAlSe-2,0.825,Direct,3.8,0.0301,0.5995,0,0.7012,1,-0.0892596,,
7995,Ga2STe+SGaAlSe-3,0.657,Direct,3.796,0.4748,0.1253,0,0.7018,5,-0.07503166,,
7996,Ga2STe+SGaAlTe-1,0.443,Direct,3.857,0.5054,0.0937,0.0009,0.693,2,-0.19476162,,
7997,Ga2STe+SGaAlTe-2,0.663,Direct,3.871,0.041,0.5907,0.5613,0.0006,2,-0.20337494,,
7998,Ga2STe+SGaAlTe-3,0.894,Direct,3.885,0.3664,0.2487,0,0.6875,5,-0.18659798,,
7999,Ga2STe+SInAlSe-1,0.21,Indirect,3.827,0.3166,0.0115,0.0019,0.6974,2,-0.1938569,,
8000,Ga2STe+SInAlSe-2,0.908,Direct,3.856,0.034,0.5994,0,0.6937,1,-0.18301109,,
8001,Ga2STe+SInAlSe-3,0.769,Indirect,3.861,0.3098,0.0119,0,0.6926,2,-0.19018071,,
8002,Ga2STe+SInAlTe-1,0.814,Direct,3.954,0.3496,0.2548,0.0007,0.6765,5,-0.18758567,,
8003,Ga2STe+SInAlTe-2,0.704,Indirect,3.946,0.0352,0.5962,0.4402,0.1547,5,-0.16748718,,
8004,Ga2STe+SInAlTe-3,1.034,Direct,3.953,0.0331,0.6027,0,0.6771,1,-0.1688707,,
8005,Ga2STe+SInGaSe-1,0.36,Direct,3.837,0.5242,0.1119,0.0019,0.696,2,-0.19948639,,
8006,Ga2STe+SInGaSe-2,0.88,Direct,3.868,0.1081,0.5332,0,0.6909,1,-0.19957311,,
8007,Ga2STe+SInGaSe-3,0.725,Direct,3.874,0.4137,0.2236,0,0.6897,5,-0.19762615,,
8008,Ga2STe+SInGaTe-1,0.829,Direct,3.951,0.3704,0.2704,0.0012,0.6762,5,-0.18445629,,
8009,Ga2STe+SInGaTe-2,0.565,Direct,3.951,0.0464,0.5897,0.676,0.0008,2,-0.17221186,,
8010,Ga2STe+SInGaTe-3,1.032,Indirect,3.96,0.0419,0.5993,0.2698,0.3921,5,-0.16603195,,
8011,Ga2STe+TeGaAlS-1,0.776,Direct,3.859,0.2145,0.3428,0.3954,0.3005,6,-0.23587503,,
8012,Ga2STe+TeGaAlS-2,0.219,Direct,3.878,0.0184,0.6139,0.6854,0,2,-0.17841691,,
8013,Ga2STe+TeGaAlS-3,0.412,Direct,3.851,0.0519,0.5679,0.6909,0.0008,2,-0.19915794,,
8014,Ga2STe+TeGaAlSe-1,0.987,Direct,3.917,0.1464,0.4619,0.2977,0.3906,6,-0.22611771,,
8015,Ga2STe+TeGaAlSe-2,0.318,Direct,3.906,0.0367,0.5956,0.682,0,2,-0.18395588,,
8016,Ga2STe+TeGaAlSe-3,0.506,Direct,3.924,0.0341,0.5941,0.6787,0.0007,2,-0.20091558,,
