,material,Gap,type_gap,lattice,cbm_up,cbm_down,vbm_up,vbm_down,lexing,form-energy,,
118,Al2SeTe+In2STe,0.824,Direct,4.035,0.5459,0.064,0.6873,0,1,-0.14368597,,
119,Al2SeTe+In2STe-1,0.849,Direct,4.032,0.4862,0.1034,0.683,0.0034,1,-0.15155436,,
120,Al2SeTe+In2STe-2,0.876,Direct,4.035,0.5306,0.0804,0.6876,0,1,-0.13422813,,
121,Al2SeTe+In2STe-3,0.81,Direct,4.037,0.3843,0.1652,0.6861,0.0006,5,-0.13895728,,
122,Al2SeTe+InAlS2,1.04,Indirect,3.831,0.2328,0.0348,0.0002,0.5659,2,-0.08976723,,
123,Al2SeTe+InAlS2-1,0.279,Indirect,3.834,0.2761,0.0021,0.0008,0.5651,2,-0.11356071,,
124,Al2SeTe+InAlS2-2,1.138,Indirect,3.834,0.2328,0.0356,0,0.5659,2,-0.07847534,,
125,Al2SeTe+InAlS2-3,0.37,Indirect,3.838,0.276,0.0013,0,0.5654,2,-0.09851376,,
126,Al2SeTe+InAlSe2,1.511,Indirect,3.917,0.1471,0.1342,0.3433,0.2069,6,-0.20198753,,
127,Al2SeTe+InAlSe2-1,0.971,Indirect,3.918,0.315,0.0043,0.004,0.5516,2,-0.22042915,,
128,Al2SeTe+InAlSe2-2,1.459,Indirect,3.92,0.0596,0.2083,0.3697,0.1912,6,-0.19218373,,
129,Al2SeTe+InAlSe2-3,1.052,Direct,3.921,0.44,0.0419,0,0.5539,2,-0.20691306,,
130,Al2SeTe+InAlTe2,0.722,Direct,4.079,0.0351,0.3911,0.6805,0,2,-0.06129416,,
131,Al2SeTe+InAlTe2-1,1.18,Indirect,4.079,0.3093,0.0477,0.6764,0.003,1,-0.07138343,,
132,Al2SeTe+InAlTe2-2,0.542,Direct,4.078,0.0304,0.3882,0.6809,0,2,-0.05406517,,
133,Al2SeTe+InAlTe2-3,1.04,Direct,4.082,0.0385,0.3816,0.679,0.0007,2,-0.0610226,,
134,Al2SeTe+InGaS2,0.433,Direct,3.85,0.5984,0.032,0.0005,0.5631,2,-0.13718521,,
